prev_hawkishness,prev_uncertainty,prev_concern,is_crisis,is_hiking,is_post_covid,chair_bernanke,chair_greenspan,chair_powell,chair_yellen,q_1,q_2,q_3,q_4,treasury_2yr_level,treasury_10yr_level,vix_level,dxy_level,breakeven_5yr_level,hy_spread_level,treasury_2yr_trend,treasury_10yr_trend,vix_trend,dxy_trend,breakeven_5yr_trend,hy_spread_trend,treasury_2yr_vol,treasury_10yr_vol,vix_vol,dxy_vol,breakeven_5yr_vol,hy_spread_vol
-0.22279021,-0.009766367,-0.25217357,-0.0028304951,-0.020069698,0.0,-0.0021914225,-0.023840105,-0.00023230625,-0.0016414629,-0.14227913,-0.0026665682,0.00017132728,-0.010507918,-0.079963654,-0.35178396,-0.05047892,0.0361093,-0.035415534,0.0,-0.0007805447,-0.05664725,-0.105173245,-0.020274334,-0.043213416,0.0,-0.14497083,0.006343112,-0.054989222,-0.024227759,-0.068363845,0.0
-0.024797626,0.056688473,0.29958466,0.0035112605,0.0011148857,0.0,0.00135678,-0.008177979,-3.994493e-05,0.0020562555,-0.012460641,-0.0020980178,0.012438027,-0.0057734773,0.67087024,0.056011014,0.16626532,0.13377479,0.033125214,0.0,0.12977317,0.12673204,0.09448661,0.104346514,-0.018930452,0.0,0.044015408,-0.0101693105,0.22831045,0.1013721,-0.025621802,0.0
0.63567054,0.06495628,-0.033162948,0.0022541184,-0.024821866,0.0,-0.0035418149,-0.041184504,-0.0001512738,-0.00050734344,0.019009227,-0.004769068,-0.002073929,-0.0065805633,0.0980219,-0.052854624,-0.30080187,0.013159119,-0.019445142,0.0,-0.09654017,-0.07367198,-0.021657363,-0.016628252,-0.03497034,0.0,-0.053788777,-0.111134596,0.0062215575,0.027438965,-0.038629364,0.0
-0.061706953,0.0046162303,-0.102262706,0.0016017639,-0.021563299,0.0,-0.0038349917,-0.013955404,-0.00012757539,-0.0005662321,0.022726664,-0.0059202006,0.0003602304,0.0200124,-0.026477715,-0.04967451,-0.42613035,0.040670305,-0.029880758,0.0,-0.09077895,-0.095360264,0.005764064,-0.08729407,-0.034929797,0.0,-0.073193476,-0.04221092,-0.00020894286,0.006745454,-0.039451104,0.0
-0.49279845,0.0019016317,0.19892165,0.0019500328,-0.012403872,0.0,-0.0025995837,-0.005222982,-9.206333e-05,0.0012080319,-0.00022891272,-0.009266281,0.0018702166,0.017464131,-0.028606303,-0.051495936,-0.487879,0.09557523,-0.0045007174,0.0,0.03402326,0.029539796,-0.050650112,-0.076236784,-0.037299607,0.0,-0.0654843,-0.030136522,-0.017634828,-0.054155994,-0.036633164,0.0
-0.2582182,0.051994815,-0.03438185,0.0038276603,-0.01512386,0.0,-0.0040991567,-0.005563,-0.0001282607,0.000830231,0.027356043,0.011934864,0.008115666,-0.01241646,0.43049487,-0.05154487,0.022316795,0.084425606,-0.008800512,0.0,0.094451934,0.14141046,0.058735345,0.060502876,-0.02353727,0.0,-0.014324908,-0.019263132,-0.042018056,0.0954635,-0.02902464,0.0
0.19620597,-0.025199343,0.17032605,0.00091607403,0.019983783,0.0,-0.0013527755,0.0026002266,-0.000104307896,-0.00039563054,0.017453887,0.0069776457,0.002903712,-0.013037389,0.34220472,-0.08182952,0.016931035,-0.21021049,0.017049685,0.0,0.026771909,0.076421395,-0.07295111,0.02825386,-0.023166325,0.0,0.004398072,-0.02292961,0.044281423,0.045382306,-0.035841014,0.0
0.21642716,0.037466478,0.17247109,-0.0003637284,0.021812456,0.0,-0.0024412945,-0.009937581,-0.00012436381,0.0008913975,0.022488998,-0.0025437456,-0.008784013,-0.004373474,0.30224875,-0.10785246,0.029893953,0.063521236,0.008619023,0.0,0.020247916,0.06253766,0.024137141,-0.0072831833,-0.021063505,0.0,-0.007389252,0.0069250315,0.038664494,0.03325625,-0.025729759,0.0
0.3148582,-0.100661315,-0.15740228,-0.0003807604,0.015326107,0.0,-0.0053102933,-0.024479443,-0.00012646259,-0.00060900045,0.020872768,-0.006313641,0.00074817415,0.01508307,0.2763489,-0.20638011,-0.017277472,0.0060692737,-0.028501151,0.0,-0.0010623111,0.0077063544,-0.059997495,-0.03960603,-0.029531235,0.0,0.014094355,-0.0012865486,-0.03650917,-0.021630708,-0.039570376,0.0
-0.026930552,0.028964156,0.19049664,-0.0007797633,0.016047524,0.0,-0.0023749843,-0.012198922,-0.00010542068,-0.0007325967,0.014020659,-0.0015171411,0.00428398,0.020981649,0.3708177,-0.09446535,0.046218656,0.06596746,-0.007925349,0.0,0.008020901,-0.013157755,0.028933635,0.008452895,-0.023377795,0.0,0.024698608,-0.003136181,-0.026924163,-0.01391363,-0.039807457,0.0
0.14239635,-0.011857865,-0.05513799,-0.0005216657,0.033292446,0.0,-0.0026161575,-0.009011946,-0.000104307896,0.0018894708,0.030759478,-0.0028281617,0.0028109574,0.024259305,0.29358014,-0.10009135,0.017297134,-0.028998563,-0.009172305,0.0,-0.01718165,0.02593404,0.030233437,-0.024112254,-0.026797077,0.0,-0.034076452,-0.025466524,-0.039531574,-0.028053444,-0.034718294,0.0
0.00016591744,-0.028453356,0.22355494,-0.00074539415,0.008869099,0.0,0.00080567214,0.0042771213,-0.000106304484,0.0028129143,-0.055261243,-0.0022739917,0.0057023936,-0.0057241996,0.4568158,0.037454356,0.06751572,-0.09223362,0.0154719725,0.0,0.029133372,0.059842188,0.036682587,-0.02864365,-0.01454947,0.0,2.9916642e-05,0.007896513,-0.0054277224,-0.0030740527,-0.02737137,0.0
