date_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
19940101,0.65604717,0.0016543823,0.0038820102,0.00085292215,0.3329584,0.0023688057,0.0009761512,0.0012601048
19970325,0.0010244567,0.0008339735,0.19715203,0.00042995776,0.00084975956,0.73967314,0.059401523,0.00063521834
19980929,0.2631259,0.00088656123,0.3126904,0.00045706952,0.0009033427,0.37913537,0.042126164,0.00067527324
19981015,0.0007540583,0.8655937,0.0014404096,0.0003164733,0.00062547124,0.13044007,0.00036219694,0.00046755676
19981117,0.000776789,0.9950084,0.0014841072,0.00032601325,0.0006443258,0.0009054311,0.0003731152,0.00048165105
19990518,0.3154757,0.00064227264,0.3492071,0.00033112575,0.00065443,0.33282113,0.00037896636,0.00048920425
19990630,0.24719374,0.00058016164,0.35236743,0.00029910423,0.0005911433,0.39818406,0.00034231838,0.0004418957
19990824,0.52062374,0.47658908,0.0009813866,0.00021559234,0.0004260922,0.000598761,0.00024674085,0.00031851552
19991005,0.32961288,0.0005570309,0.23122765,0.0002871791,0.0005675748,0.43699464,0.00032867037,0.0004242776
19991116,0.42474177,0.41404107,0.0009088165,0.00019967859,0.0003946406,0.15919046,0.00022852789,0.00029500457
19991221,0.11929487,0.00064229826,0.14865349,0.00033113896,0.05279728,0.5770165,0.0003789815,0.10088548
20000202,0.00052946963,0.5575454,0.0010114488,0.00022221495,0.000439181,0.4396696,0.00025432027,0.00032829973
20000321,0.00054629834,0.57637715,0.0010436248,0.00022927782,0.00045313992,0.42074925,0.00026240357,0.00033873442
20000516,0.00057687715,0.42745298,0.0011020402,0.00024211156,0.00047850425,0.56951267,0.00027709152,0.00035769492
20000628,0.00063389726,0.00051603303,0.24298759,0.0002660425,0.00052580086,0.7543731,0.00030447997,0.00039305046
20000822,0.0006752184,0.0005496711,0.10974747,0.00028338475,0.0005600757,0.8874411,0.0003243278,0.0004186718
20001003,0.00059700396,0.00048599957,0.31775108,0.00025055866,0.0004951989,0.67976314,0.00028675902,0.00037017465
20001115,0.00060396123,0.0004916632,0.28085265,0.00025347856,0.0005009697,0.71663266,0.00029010078,0.0003744885
20001219,0.10368856,0.00064208166,0.27081475,0.0003310273,0.0006542355,0.6230014,0.00037885367,0.0004890588
20010103,0.00047574312,0.26864845,0.0009088376,0.00019966626,0.00039461622,0.7288492,0.00022851377,0.00029498636
20010131,0.00042831758,0.12341361,0.0008182631,0.00017976206,0.000355278,0.87433344,0.00020573386,0.00026557996
20010320,0.00047142786,0.00038377257,0.07348194,0.00019785519,0.00039103688,0.9245551,0.00022644104,0.0002923107
20010418,0.21371995,0.06610658,0.0007222893,0.00015868637,0.00031362442,0.7185627,0.00018161316,0.00023444279
20010515,0.19410163,0.00032443492,0.0007613889,0.00016726348,0.00033057606,0.80387616,0.00019142948,0.0002471146
20010627,0.0005085685,0.12717158,0.00097147113,0.00021344287,0.00042184404,0.8701534,0.00024428082,0.0003153399
20010821,0.00054055627,0.19211806,0.0010325721,0.00022686792,0.00044837702,0.8050387,0.0002596455,0.00033517403
20010917,0.00052947365,0.09622039,0.0010114489,0.00022221662,0.00043918428,0.9009946,0.00025432216,0.0003283022
20011002,0.0006110295,0.20163512,0.0011671535,0.00025644508,0.00050683273,0.79515094,0.00029349592,0.00037887125
20011106,0.15698396,0.00051583303,0.0012103824,0.0002659394,0.0005255971,0.839801,0.00030436198,0.0003928981
20011211,0.18000108,0.07350814,0.0010115972,0.0002222387,0.00043922794,0.744235,0.00025434745,0.00032833483
20020130,0.0009145639,0.00074451376,0.0017474889,0.00038383648,0.0007586064,0.99444467,0.00043929266,0.00056707894
20020319,0.000494004,0.03352339,0.00094369217,0.00020733023,0.00040976316,0.96387815,0.00023728503,0.0003063091
20020507,0.0006495248,0.0005287549,0.0012406893,0.0002726013,0.00053876353,0.9960549,0.00031198637,0.00040274038
20020626,0.00057047093,0.0004644,0.0010897366,0.00023942292,0.00047319048,0.99653494,0.00027401443,0.00035372275
20020813,0.00060387555,0.0004915935,0.001153516,0.00025344262,0.0005008987,0.99633217,0.0002900597,0.00037443542
20020924,0.0005136398,0.00041813578,0.0009812401,0.00021557127,0.00042605057,0.9968801,0.00024671672,0.00031848438
20021106,0.00042476022,0.0003457821,0.00081140856,0.00017826908,0.0003523273,0.99742,0.00020402517,0.00026337424
20021210,0.00061836623,0.00050338986,0.0011811882,0.00025952427,0.00051291834,0.99624413,0.00029702,0.0003834204
20030129,0.0006110396,0.00049742544,0.0011671926,0.0002564493,0.00050684105,0.99628866,0.00029350075,0.00037887748
20030318,0.034301355,0.00039844212,0.00093494856,0.00020541814,0.00040598412,0.96321523,0.00023509667,0.00030348418
20030506,0.00051882304,0.00042235525,0.0009912106,0.00021774662,0.00043034987,0.9968485,0.00024920635,0.00032169823
20030625,0.0003595915,0.23084551,0.00068691873,0.00015091819,0.00029827157,0.767263,0.00017272265,0.0002229661
20030812,0.0004892594,0.00039828854,0.0009346097,0.00020533895,0.00040582762,0.99702823,0.00023500604,0.00030336718
20030916,0.0004939458,0.00040210361,0.00094354193,0.00020730583,0.0004097149,0.9969998,0.00023725709,0.00030627302
20031028,0.0004892583,0.0003982877,0.0009345855,0.00020533851,0.00040582675,0.99702823,0.00023500556,0.00030336654
20031209,0.00050856546,0.00041400496,0.000971479,0.0002134416,0.00042184154,0.996911,0.00024427936,0.00031533802
20040128,0.0004939534,0.00040210978,0.000943618,0.000207309,0.0004097212,0.99699974,0.00023726073,0.00030627774
20040316,0.00049396435,0.101015046,0.0009436172,0.00020731358,0.00040973024,0.89638674,0.00023726597,0.0003062845
20040504,0.0005136527,0.38336387,0.0009813363,0.00021557666,0.00042606122,0.61393416,0.0002467229,0.00031849236
20040630,0.00035709643,0.99770546,0.0006821624,0.00014987103,0.000296202,0.00041623434,0.0001715242,0.00022141903
20040810,0.00033396712,0.99785405,0.0006379894,0.00014016381,0.00027701684,0.00038927462,0.00016041449,0.00020707762
20040921,0.00035463265,0.99772125,0.0006774156,0.000148837,0.00029415835,0.00041336246,0.00017034076,0.00021989136
20041110,0.00037803288,0.99757093,0.00072212453,0.00015865792,0.00031356822,0.00044063793,0.0001815806,0.00023440077
20041214,0.000323486,0.9979214,0.00061793014,0.00013576495,0.00026832303,0.00037705767,0.00015538008,0.00020057875
20050202,0.000364663,0.9976568,0.00069657806,0.00015304667,0.00030247826,0.0004250539,0.00017515865,0.00022611071
20050322,0.0003339619,0.9978541,0.0006379569,0.00014016163,0.00027701253,0.00038926856,0.00016041199,0.0002070744
20050503,0.00034057553,0.9978116,0.00065057713,0.00014293732,0.00028249834,0.00039697738,0.00016358872,0.0002111752
20050630,0.00036726327,0.99764013,0.00070154725,0.00015413799,0.00030463512,0.0004280848,0.00017640764,0.00022772304
20050809,0.00034746414,0.9977673,0.00066373986,0.00014582842,0.00028821226,0.0004050068,0.00016689753,0.0002154465
20050920,0.00031366418,0.9790991,0.0005992289,0.0001316428,0.00026017608,0.019251011,0.00015066237,0.00019448869
20051101,0.00034284728,0.997797,0.0006549304,0.00014389076,0.0002843827,0.0003996253,0.0001646799,0.0002125838
20051213,0.00041451695,0.99733645,0.00079184416,0.00017397004,0.00034383076,0.00048316404,0.00019910501,0.00025702285
20060131,0.38062653,0.61721146,0.00076123956,0.00016724535,0.00033054024,0.00046448768,0.00019140873,0.00024708782
20060328,0.68305635,0.31511986,0.00064217806,0.00014108277,0.00027883303,0.0003918268,0.00016146622,0.00020843527
