doc_id,date,date_str,year,month,quarter,chair_era,is_crisis,is_hiking,is_post_covid,word_count,chair_bernanke,chair_greenspan,chair_powell,chair_yellen,q_1,q_2,q_3,q_4,treasury_2yr_level,treasury_2yr_trend,treasury_2yr_vol,treasury_10yr_level,treasury_10yr_trend,treasury_10yr_vol,vix_level,vix_trend,vix_vol,dxy_level,dxy_trend,dxy_vol,breakeven_5yr_level,breakeven_5yr_trend,breakeven_5yr_vol,hy_spread_level,hy_spread_trend,hy_spread_vol,hawkishness,uncertainty,concern,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
fomc_statement_19940101,1994-01-01,19940101,1994,1,1,greenspan,0,0,0,92,0,1,0,0,1,0,0,0,0.6265768485917557,0.607337450054486,0.03835025826714748,0.8392542219504642,0.6154799309642874,0.05771799644931659,0.03735017290342521,0.17782113790558046,0.08273049053948894,0.5079707381065535,0.46122808998708975,0.1028339160609875,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,0.0,1.6393,0.0,0.65604717,0.0016543823,0.0038820102,0.00085292215,0.3329584,0.0023688057,0.0009761512,0.0012601048,-0.13896258,-0.48207146,0.13026404,0.05412954,0.10857271,-0.4655882,-0.088196635,-0.26414406,-0.016365893,0.14347851
fomc_statement_19970325,1997-03-25,19970325,1997,3,1,greenspan,0,0,0,163,0,1,0,0,1,0,0,0,0.9149291171022813,0.8214988038127686,0.37104091436717745,0.9893839683941539,0.8191684736911982,0.2746608752606995,0.1965036995537353,0.2746625354390683,0.019295626972068693,0.4987084366878727,0.5157700207845639,0.08779789478215226,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,3.9216,1.9608,0.6536,0.0010244567,0.0008339735,0.19715203,0.00042995776,0.00084975956,0.73967314,0.059401523,0.00063521834,-0.19852726,0.00069367886,-0.11553967,0.13299234,0.2992777,-0.05940441,-0.040306844,0.10917315,-0.1230083,0.13740931
fomc_statement_19980929,1998-09-29,19980929,1998,9,3,greenspan,0,0,0,128,0,1,0,0,0,0,1,0,0.7277085844591191,0.20009519395768882,0.6580404366905176,0.6808876230870755,0.30900119484887384,0.48541591257734806,0.5130325328902885,0.3531071188448862,0.28235467242896567,0.5739628478750785,0.07615513036896415,0.7147736172842952,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,1.6949,1.6949,1.6949,0.2631259,0.00088656123,0.3126904,0.00045706952,0.0009033427,0.37913537,0.042126164,0.00067527324,-0.38294774,0.0175094,0.0023834072,0.22305077,0.32713854,-0.06700808,-0.10525057,0.030283257,-0.095828585,0.17484352
fomc_statement_19981015,1998-10-15,19981015,1998,10,4,greenspan,0,0,0,182,0,1,0,0,0,0,0,1,0.6679808666564069,0.17885191076819018,0.6763134251891526,0.6193234200537654,0.3853719520290305,0.45781624351483186,0.5706759075014973,0.28822788202492844,0.20047426776028202,0.5127598433654361,0.19539168678486302,0.47796939729807625,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,0.5952,2.9762,0.0,0.0007540583,0.8655937,0.0014404096,0.0003164733,0.00062547124,0.13044007,0.00036219694,0.00046755676,-0.4825257,-0.018375814,-0.037128,0.3840425,0.255174,0.12391789,0.17433318,0.047744345,-0.0539951,0.03301202
fomc_statement_19981117,1998-11-17,19981117,1998,11,4,greenspan,0,0,0,172,0,1,0,0,0,0,0,1,0.6284739338270047,0.843380888560442,0.49222723548964337,0.6177696663453822,0.8024184626277826,0.29559008566454664,0.44017927863531875,0.0,0.3487753331144503,0.4697439923582136,0.5994698562782507,0.24886175583683268,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,0.6329,3.1646,0.6329,0.000776789,0.9950084,0.0014841072,0.00032601325,0.0006443258,0.0009054311,0.0003731152,0.00048165105,-0.47221768,-0.043193728,-0.03649608,0.40013292,0.22535187,0.15023208,0.19749172,0.043893397,-0.08553195,-0.030908069
fomc_statement_19990518,1999-05-18,19990518,1999,5,2,greenspan,0,0,0,175,0,1,0,0,0,1,0,0,0.7579350800620905,0.7487004772223406,0.25615596514197886,0.7434233918540354,0.8474023100411561,0.33294551596945726,0.2788220736819736,0.33366370616251895,0.07651720254952149,0.6108612718987998,0.4858414696304254,0.0703594460561887,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.3669,4.7337,0.0,0.3154757,0.00064227264,0.3492071,0.00033112575,0.00065443,0.33282113,0.00037896636,0.00048920425,-0.11570164,0.040083528,0.05765588,0.17422289,0.16177838,-0.22960651,-0.06972049,-0.07515697,-0.04680835,0.1003281
fomc_statement_19990630,1999-06-30,19990630,1999,6,2,greenspan,0,1,0,182,0,1,0,0,0,1,0,0,0.8356230796933604,0.7772586645289778,0.3175312284210188,0.8444780933976639,0.82831791830774,0.3117879242291053,0.27922821320248054,0.17824052959955616,0.11566375232347373,0.6493563874456871,0.5337711012156375,0.12724929119310585,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.2857,1.7143,0.0,0.24719374,0.00058016164,0.35236743,0.00029910423,0.0005911433,0.39818406,0.00034231838,0.0004418957,-0.19152273,0.0666334,0.054581642,0.1653956,0.12899004,-0.1337333,-0.05580259,-0.04900938,0.0022790208,0.1005654
fomc_statement_19990824,1999-08-24,19990824,1999,8,3,greenspan,0,1,0,238,0,1,0,0,0,0,1,0,0.8467843530309694,0.7079048561443942,0.21948128769747477,0.8574616366996746,0.7537726246846927,0.23476093214057947,0.25964492011668566,0.34112154366234265,0.1551872243926115,0.6214805866362609,0.2743852377711379,0.41972398314668896,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.6201,0.8734,0.4367,0.52062374,0.47658908,0.0009813866,0.00021559234,0.0004260922,0.000598761,0.00024674085,0.00031851552,-0.3312157,0.042674243,-0.0127222575,0.30109003,0.15057537,0.05481565,0.0465336,-0.08789395,0.049987115,-0.010620534
fomc_statement_19991005,1999-10-05,19991005,1999,10,4,greenspan,0,1,0,193,0,1,0,0,0,0,0,1,0.8535099279804449,0.5966531808559942,0.09955722096134285,0.8634351938167841,0.6471655529495067,0.09728829481014185,0.2725732086625582,0.3407830212187748,0.09251063578612051,0.599344418613633,0.36020778459744784,0.1983700888366824,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,1.6043,1.6043,0.0,0.32961288,0.0005570309,0.23122765,0.0002871791,0.0005675748,0.43699464,0.00032867037,0.0004242776,-0.20300569,0.093490005,0.046482686,0.16325264,0.0129161,-0.16578832,-0.14263457,0.029598452,0.004688911,0.058886353
fomc_statement_19991116,1999-11-16,19991116,1999,11,4,greenspan,0,1,0,265,0,1,0,0,0,0,0,1,0.8818643370005836,0.5582123576787705,0.16025185687520266,0.8965321055706135,0.5677412930920035,0.1502706103383491,0.25774524274095395,0.22985297782207825,0.10517842840306474,0.5780123906760335,0.6173580102976679,0.27303096958998996,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.3166,2.3166,0.7722,0.42474177,0.41404107,0.0009088165,0.00019967859,0.0003946406,0.15919046,0.00022852789,0.00029500457,-0.20912737,0.06426692,-0.03745897,0.24766424,0.04930054,0.075697556,-0.03702019,-0.0101095885,0.09573322,0.024021048
fomc_statement_19991221,1999-12-21,19991221,1999,12,4,greenspan,0,1,0,174,0,1,0,0,0,0,0,1,0.9016178034152847,0.7400954444681038,0.24191971567101195,0.9071261864749665,0.7595698544054522,0.17912637675164178,0.22315700403763306,0.2761910583057892,0.051848899281250756,0.6290124962878094,0.5600478563820209,0.16717451462995592,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,1.7964,3.5928,0.0,0.11929487,0.00064229826,0.14865349,0.00033113896,0.05279728,0.5770165,0.0003789815,0.10088548,-0.18951967,0.029936492,0.01629072,0.2165068,0.10410266,-0.23957086,-0.052149445,0.012495609,-0.021085799,0.12134297
fomc_statement_20000202,2000-02-02,20000202,2000,2,1,greenspan,0,1,0,213,0,1,0,0,1,0,0,0,0.9675740917091188,0.7691671781254306,0.27151339350904247,1.0,0.7768619728282516,0.21954340969026326,0.25427289762958094,0.2639699279229297,0.08858212397281004,0.640428842832466,0.5952732666558826,0.32768619401215815,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.439,1.9512,0.4878,0.00052946963,0.5575454,0.0010114488,0.00022221495,0.000439181,0.4396696,0.00025432027,0.00032829973,-0.40139502,0.0506292,-0.050179794,0.28344443,0.031254683,0.17669383,0.14862752,0.05459957,0.1091821,0.0018010624
fomc_statement_20000321,2000-03-21,20000321,2000,3,1,greenspan,0,1,0,219,0,1,0,0,1,0,0,0,0.9938579873428699,0.5038014955471775,0.15831640014949055,0.9653125522812316,0.48596052573350457,0.20635115569574436,0.2522218379923884,0.23933724828270386,0.07461589198456678,0.7074117819101953,0.5593855582379818,0.1789586499326251,0.768508840444986,0.6882263312845411,0.06602488420670241,0.0,0.0,0.0,2.3697,1.8957,0.4739,0.00054629834,0.57637715,0.0010436248,0.00022927782,0.00045313992,0.42074925,0.00026240357,0.00033873442,-0.40667233,0.05190444,-0.019051112,0.27714735,0.008134846,0.18490797,0.1820605,0.0131211,0.09474719,-0.011313705
