doc_id,date_str
fomc_statement_20220727,20220727
fomc_statement_20220921,20220921
fomc_statement_20221102,20221102
fomc_statement_20221214,20221214
fomc_statement_20230201,20230201
fomc_statement_20230322,20230322
fomc_statement_20230503,20230503
fomc_statement_20230614,20230614
fomc_statement_20230726,20230726
fomc_statement_20230920,20230920
fomc_statement_20231101,20231101
fomc_statement_20231213,20231213
fomc_statement_20240131,20240131
fomc_statement_20240320,20240320
fomc_statement_20240501,20240501
fomc_statement_20240612,20240612
fomc_statement_20240731,20240731
fomc_statement_20240918,20240918
fomc_statement_20241107,20241107
fomc_statement_20241218,20241218
